Vehicle ID: 10001, Entry Time: 1, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10000, Entry Time: 0, Entry Lane: NS, Exit Lane: SN
Vehicle ID: 10004, Entry Time: 5, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10007, Entry Time: 6, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10008, Entry Time: 6, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10002, Entry Time: 1, Entry Lane: EW, Exit Lane: WE
Vehicle ID: 10011, Entry Time: 7, Entry Lane: WE, Exit Lane: WE
Vehicle ID: 10016, Entry Time: 10, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10018, Entry Time: 12, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10020, Entry Time: 13, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10005, Entry Time: 6, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10006, Entry Time: 6, Entry Lane: SN, Exit Lane: SN
Vehicle ID: 10019, Entry Time: 12, Entry Lane: EW, Exit Lane: WE
Vehicle ID: 10003, Entry Time: 4, Entry Lane: NS, Exit Lane: WE
Vehicle ID: 10012, Entry Time: 8, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10009, Entry Time: 7, Entry Lane: NS, Exit Lane: WE
Vehicle ID: 10010, Entry Time: 7, Entry Lane: SN, Exit Lane: EW
Vehicle ID: 10013, Entry Time: 9, Entry Lane: SN, Exit Lane: SN
Vehicle ID: 10015, Entry Time: 10, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10014, Entry Time: 10, Entry Lane: NS, Exit Lane: SN
Vehicle ID: 10027, Entry Time: 19, Entry Lane: NS, Exit Lane: WE
Vehicle ID: 10017, Entry Time: 11, Entry Lane: SN, Exit Lane: EW
Vehicle ID: 10021, Entry Time: 14, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10022, Entry Time: 14, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10023, Entry Time: 15, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10030, Entry Time: 21, Entry Lane: NS, Exit Lane: SN
Vehicle ID: 10032, Entry Time: 22, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10026, Entry Time: 18, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10025, Entry Time: 17, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10028, Entry Time: 20, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10029, Entry Time: 20, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10024, Entry Time: 15, Entry Lane: EW, Exit Lane: WE
Vehicle ID: 10038, Entry Time: 27, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10031, Entry Time: 21, Entry Lane: WE, Exit Lane: SN
Vehicle ID: 10041, Entry Time: 30, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10042, Entry Time: 31, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10034, Entry Time: 24, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10033, Entry Time: 23, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10037, Entry Time: 26, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10035, Entry Time: 25, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10045, Entry Time: 32, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10039, Entry Time: 29, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10040, Entry Time: 30, Entry Lane: SN, Exit Lane: SN
Vehicle ID: 10043, Entry Time: 32, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10044, Entry Time: 32, Entry Lane: SN, Exit Lane: EW
Vehicle ID: 10046, Entry Time: 33, Entry Lane: SN, Exit Lane: SN
Vehicle ID: 10054, Entry Time: 38, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10056, Entry Time: 40, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10036, Entry Time: 26, Entry Lane: NS, Exit Lane: NS
Vehicle ID: 10047, Entry Time: 33, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10057, Entry Time: 41, Entry Lane: NS, Exit Lane: SN
Vehicle ID: 10048, Entry Time: 33, Entry Lane: EW, Exit Lane: NS
Vehicle ID: 10050, Entry Time: 34, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10049, Entry Time: 34, Entry Lane: WE, Exit Lane: SN
